sortie,model,origin,destination,load_kg,start_s,end_s,energy_kwh,distance,cruise_z,climb,descent,cells,dem_max
Q2-018,B,S015,O01,0,4365.5783187134875,4976.276637426976,0.8824195741706039,6009.38297162029,571.7992553710938,97.29925537109375,444.09925537109376,288,521.7992553710938
Q2-019,C,O01,S004,59,3735.0,4442.4983462416,3.7342215048587453,7714.6964491171675,398.2391662597656,270.53916625976564,169.9391662597656,278,348.2391662597656
Q2-019,C,S004,O01,0,4838.4983462416,5556.0566924832,2.4187105140484637,7714.6964491171675,398.2391662597656,169.9391662597656,270.53916625976564,278,348.2391662597656
Q2-020,A,O01,S003,22,3958.0,4797.287972714344,1.7170604129688936,7263.1792565565,561.8041381835938,434.10413818359376,223.30413818359375,340,511.80413818359375
Q2-020,A,S003,O01,0,5007.287972714344,5860.6292787620205,1.366532355567004,7263.1792565565,561.8041381835938,223.30413818359375,434.10413818359376,340,511.80413818359375
Q2-021,C,O01,S005,59,4083.0,4580.23026226289,2.5626257007137268,5280.606936873044,326.410888671875,198.710888671875,131.410888671875,183,276.410888671875
Q2-021,C,S005,O01,0,4976.23026226289,5480.19052452578,1.6595671587933043,5280.606936873044,326.410888671875,131.410888671875,198.710888671875,183,276.410888671875
Q2-022,A,O01,S003,22,4053.0,4892.287972714344,1.7170604129688936,7263.1792565565,561.8041381835938,434.10413818359376,223.30413818359375,340,511.80413818359375
Q2-022,A,S003,O01,0,5102.287972714344,5955.6292787620205,1.366532355567004,7263.1792565565,561.8041381835938,223.30413818359375,434.10413818359376,340,511.80413818359375
Q2-023,B,O01,S003,20,5337.0,6055.2349851050685,1.492953562921025,7263.1792565565,561.8041381835938,434.10413818359376,223.30413818359375,340,511.80413818359375
Q2-023,B,S003,O01,0,6265.2349851050685,6997.52330354347,1.0925314053672746,7263.1792565565,561.8041381835938,223.30413818359375,434.10413818359376,340,511.80413818359375
Q2-024,B,O01,S008,20,5455.0,6116.142384496832,1.5841986636381966,8079.033112423187,372.9093322753906,245.20933227539064,102.00933227539065,323,322.9093322753906
Q2-024,B,S008,O01,0,6326.142384496832,6996.831435660331,1.1792425916269136,8079.033112423187,372.9093322753906,102.00933227539065,245.20933227539064,323,322.9093322753906
