sortie,time_s,mode,relay,lon,lat,altitude_m
Q2-016,5220.362771220054,relay,R01,109.19327580996215,23.027761098331343,561.8041381835938
Q2-016,5221.361923583479,relay,R01,109.19317347237983,23.027813529877925,561.8041381835938
Q2-016,5222.361075946905,relay,R01,109.19307113479752,23.027865961424506,561.8041381835938
Q2-016,5223.36022831033,relay,R01,109.1929687972152,23.02791839297109,561.8041381835938
Q2-016,5224.359380673755,relay,R01,109.1928664596329,23.02797082451767,561.8041381835938
Q2-016,5225.35853303718,relay,R01,109.19276412205059,23.02802325606425,561.8041381835938
Q2-016,5226.357685400605,relay,R01,109.19266178446827,23.028075687610833,561.8041381835938
Q2-016,5227.35683776403,relay,R01,109.19255944688597,23.02812811915741,561.8041381835938
Q2-016,5228.355990127456,relay,R01,109.19245710930365,23.028180550703993,561.8041381835938
Q2-016,5229.355142490881,relay,R01,109.19235477172134,23.028232982250575,561.8041381835938
Q2-016,5230.354294854306,relay,R01,109.19225243413904,23.028285413797157,561.8041381835938
Q2-016,5231.353447217732,relay,R01,109.19215009655672,23.02833784534374,561.8041381835938
Q2-016,5232.352599581157,relay,R01,109.19204775897441,23.02839027689032,561.8041381835938
Q2-016,5233.351751944582,relay,R01,109.19194542139209,23.028442708436902,561.8041381835938
Q2-016,5234.350904308007,relay,R01,109.19184308380979,23.02849513998348,561.8041381835938
Q2-016,5235.350056671432,relay,R01,109.19174074622748,23.028547571530062,561.8041381835938
Q2-016,5236.349209034857,relay,R01,109.19163840864516,23.028600003076644,561.8041381835938
Q2-016,5237.348361398283,relay,R01,109.19153607106286,23.028652434623226,561.8041381835938
Q2-016,5238.347513761708,relay,R01,109.19143373348054,23.028704866169807,561.8041381835938
Q2-016,5239.346666125133,relay,R01,109.19133139589823,23.02875729771639,561.8041381835938
Q2-016,5240.3458184885585,relay,R01,109.19122905831593,23.02880972926297,561.8041381835938
Q2-016,5241.344970851984,relay,R01,109.1911267207336,23.028862160809553,561.8041381835938
Q2-016,5242.344123215409,relay,R01,109.1910243831513,23.02891459235613,561.8041381835938
Q2-016,5243.343275578834,relay,R01,109.19092204556898,23.028967023902712,561.8041381835938
Q2-016,5244.34242794226,relay,R01,109.19081970798668,23.029019455449294,561.8041381835938
Q2-016,5245.341580305685,relay,R01,109.19071737040437,23.029071886995876,561.8041381835938
Q2-016,5246.3407326691095,relay,R01,109.19061503282205,23.029124318542458,561.8041381835938
Q2-016,5247.339885032535,relay,R01,109.19051269523975,23.02917675008904,561.8041381835938
Q2-016,5248.33903739596,relay,R01,109.19041035765743,23.02922918163562,561.8041381835938
Q2-016,5249.338189759385,relay,R01,109.19030802007512,23.0292816131822,561.8041381835938
Q2-016,5250.337342122811,relay,R01,109.19020568249282,23.02933404472878,561.8041381835938
Q2-016,5251.336494486236,relay,R01,109.1901033449105,23.029386476275363,561.8041381835938
Q2-016,5252.335646849661,relay,R01,109.19000100732819,23.029438907821945,561.8041381835938
Q2-016,5253.334799213087,relay,R01,109.18989866974587,23.029491339368526,561.8041381835938
Q2-016,5254.333951576512,relay,R01,109.18979633216357,23.029543770915108,561.8041381835938
Q2-016,5255.333103939937,relay,R01,109.18969399458125,23.02959620246169,561.8041381835938
Q2-016,5256.332256303362,relay,R01,109.18959165699894,23.02964863400827,561.8041381835938
Q2-016,5257.331408666787,relay,R01,109.18948931941664,23.02970106555485,561.8041381835938
Q2-016,5258.330561030212,relay,R01,109.18938698183432,23.02975349710143,561.8041381835938
Q2-016,5259.329713393638,relay,R01,109.18928464425201,23.029805928648013,561.8041381835938
Q2-016,5260.328865757063,relay,R01,109.1891823066697,23.029858360194595,561.8041381835938
Q2-016,5261.328018120488,relay,R01,109.18907996908739,23.029910791741177,561.8041381835938
Q2-016,5262.3271704839135,relay,R01,109.18897763150508,23.02996322328776,561.8041381835938
Q2-016,5263.326322847339,relay,R01,109.18887529392276,23.03001565483434,561.8041381835938
Q2-016,5264.325475210764,relay,R01,109.18877295634046,23.03006808638092,561.8041381835938
Q2-016,5265.324627574189,relay,R01,109.18867061875814,23.0301205179275,561.8041381835938
Q2-016,5266.323779937615,relay,R01,109.18856828117583,23.030172949474082,561.8041381835938
Q2-016,5267.32293230104,relay,R01,109.18846594359353,23.030225381020664,561.8041381835938
Q2-016,5268.3220846644645,relay,R01,109.18836360601121,23.030277812567245,561.8041381835938
Q2-016,5269.32123702789,relay,R01,109.1882612684289,23.030330244113827,561.8041381835938
Q2-016,5270.320389391315,relay,R01,109.18815893084658,23.03038267566041,561.8041381835938
Q2-016,5271.31954175474,relay,R01,109.18805659326428,23.03043510720699,561.8041381835938
Q2-016,5272.318694118166,relay,R01,109.18795425568197,23.03048753875357,561.8041381835938
Q2-016,5273.317846481591,relay,R01,109.18785191809965,23.03053997030015,561.8041381835938
Q2-016,5274.316998845016,relay,R01,109.18774958051735,23.030592401846732,561.8041381835938
Q2-016,5275.316151208442,relay,R01,109.18764724293503,23.030644833393314,561.8041381835938
Q2-016,5276.315303571867,relay,R01,109.18754490535272,23.030697264939896,561.8041381835938
Q2-016,5277.314455935291,relay,R01,109.18744256777042,23.030749696486478,561.8041381835938
Q2-016,5278.313608298717,relay,R01,109.1873402301881,23.03080212803306,561.8041381835938
Q2-016,5279.312760662142,relay,R01,109.1872378926058,23.030854559579637,561.8041381835938
Q2-016,5280.311913025567,relay,R01,109.18713555502347,23.03090699112622,561.8041381835938
Q2-016,5281.311065388993,relay,R01,109.18703321744117,23.0309594226728,561.8041381835938
Q2-016,5282.310217752418,relay,R01,109.18693087985886,23.031011854219383,561.8041381835938
Q2-016,5283.309370115843,relay,R01,109.18682854227654,23.031064285765964,561.8041381835938
Q2-016,5284.3085224792685,relay,R01,109.18672620469424,23.031116717312546,561.8041381835938
Q2-016,5285.307674842694,relay,R01,109.18662386711192,23.031169148859128,561.8041381835938
Q2-016,5286.306827206119,relay,R01,109.18652152952961,23.03122158040571,561.8041381835938
Q2-016,5287.305979569544,relay,R01,109.18641919194731,23.031274011952288,561.8041381835938
Q2-016,5288.30513193297,relay,R01,109.18631685436499,23.03132644349887,561.8041381835938
Q2-016,5289.304284296394,relay,R01,109.18621451678268,23.03137887504545,561.8041381835938
Q2-016,5290.303436659819,relay,R01,109.18611217920036,23.031431306592033,561.8041381835938
Q2-016,5291.302589023245,relay,R01,109.18600984161806,23.031483738138615,561.8041381835938
Q2-016,5292.30174138667,relay,R01,109.18590750403574,23.031536169685197,561.8041381835938
Q2-016,5293.300893750095,relay,R01,109.18580516645343,23.03158860123178,561.8041381835938
Q2-016,5294.300046113521,relay,R01,109.18570282887113,23.031641032778357,561.8041381835938
Q2-016,5295.299198476946,relay,R01,109.18560049128881,23.03169346432494,561.8041381835938
Q2-016,5296.298350840371,relay,R01,109.1854981537065,23.03174589587152,561.8041381835938
Q2-016,5297.297503203797,relay,R01,109.18539581612418,23.0317983274181,561.8041381835938
Q2-016,5298.296655567221,relay,R01,109.18529347854188,23.031850758964683,561.8041381835938
Q2-016,5299.295807930646,relay,R01,109.18519114095957,23.031903190511265,561.8041381835938
Q2-016,5300.294960294072,relay,R01,109.18508880337725,23.031955622057847,561.8041381835938
Q2-016,5301.294112657497,relay,R01,109.18498646579495,23.03200805360443,561.8041381835938
Q2-016,5302.293265020922,relay,R01,109.18488412821263,23.032060485151007,561.8041381835938
Q2-016,5303.292417384348,relay,R01,109.18478179063032,23.03211291669759,561.8041381835938
Q2-016,5304.291569747773,relay,R01,109.18467945304802,23.03216534824417,561.8041381835938
Q2-016,5305.070167722222,relay,R01,109.18459970561688,23.032206205972642,561.8041381835938
Q2-016,5305.0702677222225,relay,R01,109.18459969537443,23.032206211220245,561.8041381835938
Q2-016,5305.070367722223,relay,R01,109.184599685132,23.03220621646785,561.8041381835938
Q2-016,5305.290722111198,relay,R01,109.1845771154657,23.032217779790752,561.8041381835938
Q2-016,5306.2898744746235,relay,R01,109.1844747778834,23.032270211337334,561.8041381835938
Q2-016,5307.289026838049,relay,R01,109.18437244030108,23.032322642883916,561.8041381835938
Q2-016,5308.288179201474,relay,R01,109.18427010271877,23.032375074430497,561.8041381835938
Q2-016,5309.287331564899,relay,R01,109.18416776513646,23.032427505977076,561.8041381835938
Q2-016,5310.286483928324,relay,R01,109.18406542755415,23.032479937523657,561.8041381835938
Q2-016,5311.285636291749,relay,R01,109.18396308997184,23.03253236907024,561.8041381835938
Q2-016,5312.284788655174,relay,R01,109.18386075238952,23.03258480061682,561.8041381835938
Q2-016,5313.2839410186,relay,R01,109.18375841480722,23.032637232163403,561.8041381835938
Q2-016,5314.283093382025,relay,R01,109.18365607722491,23.032689663709984,561.8041381835938
Q2-016,5315.28224574545,relay,R01,109.18355373964259,23.032742095256566,561.8041381835938
Q2-016,5316.281398108876,relay,R01,109.18345140206029,23.032794526803148,561.8041381835938
Q2-016,5317.280550472301,relay,R01,109.18334906447797,23.032846958349726,561.8041381835938
Q2-016,5318.279702835726,relay,R01,109.18324672689566,23.032899389896308,561.8041381835938
Q2-016,5319.278855199152,relay,R01,109.18314438931336,23.03295182144289,561.8041381835938
Q2-016,5320.278007562576,relay,R01,109.18304205173104,23.03300425298947,561.8041381835938
Q2-016,5321.277159926001,relay,R01,109.18293971414873,23.033056684536053,561.8041381835938
Q2-016,5322.276312289427,relay,R01,109.18283737656641,23.033109116082635,561.8041381835938
Q2-016,5323.275464652852,relay,R01,109.1827350389841,23.033161547629216,561.8041381835938
Q2-016,5324.274617016277,relay,R01,109.1826327014018,23.033213979175795,561.8041381835938
Q2-016,5325.273769379703,relay,R01,109.18253036381948,23.033266410722376,561.8041381835938
Q2-016,5326.272921743128,relay,R01,109.18242802623718,23.033318842268958,561.8041381835938
Q2-016,5327.272074106553,relay,R01,109.18232568865486,23.03337127381554,561.8041381835938
Q2-016,5328.2712264699785,relay,R01,109.18222335107255,23.03342370536212,561.8041381835938
Q2-016,5329.270378833404,relay,R01,109.18212101349023,23.033476136908703,561.8041381835938
Q2-016,5330.269531196829,relay,R01,109.18201867590793,23.033528568455285,561.8041381835938
Q2-016,5331.2686835602535,relay,R01,109.18191633832562,23.033581000001867,561.8041381835938
Q2-016,5332.267835923679,relay,R01,109.1818140007433,23.033633431548445,561.8041381835938
Q2-016,5333.266988287104,relay,R01,109.181711663161,23.033685863095027,561.8041381835938
Q2-016,5334.266140650529,relay,R01,109.18160932557868,23.03373829464161,561.8041381835938
Q2-016,5335.265293013955,relay,R01,109.18150698799637,23.03379072618819,561.8041381835938
Q2-016,5336.26444537738,relay,R01,109.18140465041407,23.033843157734772,561.8041381835938
Q2-016,5337.263597740805,relay,R01,109.18130231283175,23.033895589281354,561.8041381835938
Q2-016,5338.262750104231,relay,R01,109.18119997524944,23.033948020827935,561.8041381835938
Q2-016,5339.261902467656,relay,R01,109.18109763766712,23.034000452374517,561.8041381835938
Q2-016,5340.261054831081,relay,R01,109.18099530008482,23.034052883921095,561.8041381835938
Q2-016,5341.260207194506,relay,R01,109.18089296250251,23.034105315467677,561.8041381835938
Q2-016,5342.259359557931,relay,R01,109.18079062492019,23.03415774701426,561.8041381835938
Q2-016,5343.258511921356,relay,R01,109.18068828733789,23.03421017856084,561.8041381835938
Q2-016,5344.257664284782,relay,R01,109.18058594975557,23.034262610107422,561.8041381835938
Q2-016,5345.256816648207,relay,R01,109.18048361217326,23.034315041654004,561.8041381835938
Q2-016,5346.255969011632,relay,R01,109.18038127459096,23.034367473200586,561.8041381835938
Q2-016,5347.255121375058,relay,R01,109.18027893700864,23.034419904747164,561.8041381835938
Q2-016,5348.254273738483,relay,R01,109.18017659942633,23.034472336293746,561.8041381835938
Q2-016,5349.253426101908,relay,R01,109.18007426184401,23.034524767840328,561.8041381835938
Q2-016,5350.2525784653335,relay,R01,109.17997192426171,23.03457719938691,561.8041381835938
Q2-016,5351.251730828759,relay,R01,109.1798695866794,23.03462963093349,561.8041381835938
Q2-016,5352.250883192183,relay,R01,109.17976724909708,23.034682062480073,561.8041381835938
Q2-016,5353.2500355556085,relay,R01,109.17966491151478,23.034734494026655,561.8041381835938
Q2-016,5354.249187919034,relay,R01,109.17956257393246,23.034786925573236,561.8041381835938
Q2-016,5355.248340282459,relay,R01,109.17946023635015,23.034839357119814,561.8041381835938
Q2-016,5356.247492645884,relay,R01,109.17935789876785,23.034891788666396,561.8041381835938
Q2-016,5357.24664500931,relay,R01,109.17925556118553,23.034944220212978,561.8041381835938
Q2-016,5358.245797372735,relay,R01,109.17915322360322,23.03499665175956,561.8041381835938
Q2-016,5359.24494973616,relay,R01,109.1790508860209,23.03504908330614,561.8041381835938
Q2-016,5360.244102099586,relay,R01,109.1789485484386,23.035101514852723,561.8041381835938
Q2-016,5361.243254463011,relay,R01,109.17884621085629,23.035153946399305,561.8041381835938
Q2-016,5362.242406826435,relay,R01,109.17874387327397,23.035206377945883,561.8041381835938
