rho,area,model,max_safe_kg
0.17,S001,A,25.0
0.17,S001,B,30.0
0.17,S001,C,80.0
0.17,S002,A,25.0
0.17,S002,B,30.0
0.17,S002,C,72.23193055018783
0.17,S003,A,25.0
0.17,S003,B,30.0
0.17,S003,C,71.68239332735538
0.17,S004,A,25.0
0.17,S004,B,30.0
0.17,S004,C,67.60165905579925
0.17,S005,A,25.0
0.17,S005,B,30.0
0.17,S005,C,80.0
0.17,S006,A,25.0
0.17,S006,B,30.0
0.17,S006,C,80.0
0.17,S007,A,25.0
0.17,S007,B,30.0
0.17,S007,C,80.0
0.17,S008,A,25.0
0.17,S008,B,30.0
0.17,S008,C,63.310706624761224
0.17,S009,A,25.0
0.17,S009,B,30.0
0.17,S009,C,80.0
0.17,S010,A,25.0
0.17,S010,B,30.0
0.17,S010,C,80.0
0.17,S011,A,25.0
0.17,S011,B,30.0
0.17,S011,C,80.0
0.17,S012,A,25.0
0.17,S012,B,30.0
0.17,S012,C,71.57583609223366
0.17,S013,A,25.0
0.17,S013,B,30.0
0.17,S013,C,80.0
0.17,S014,A,25.0
0.17,S014,B,30.0
0.17,S014,C,80.0
0.17,S015,A,25.0
0.17,S015,B,30.0
0.17,S015,C,80.0
0.18,S001,A,25.0
0.18,S001,B,30.0
0.18,S001,C,80.0
0.18,S002,A,25.0
0.18,S002,B,30.0
0.18,S002,C,71.15912545472383
0.18,S003,A,25.0
0.18,S003,B,30.0
0.18,S003,C,70.57669424451888
0.18,S004,A,25.0
0.18,S004,B,30.0
0.18,S004,C,66.36277815327048
0.18,S005,A,25.0
0.18,S005,B,30.0
0.18,S005,C,80.0
0.18,S006,A,25.0
0.18,S006,B,30.0
0.18,S006,C,80.0
0.18,S007,A,25.0
0.18,S007,B,30.0
0.18,S007,C,80.0
0.18,S008,A,25.0
0.18,S008,B,29.906141934916377
0.18,S008,C,61.91665614955127
0.18,S009,A,25.0
0.18,S009,B,30.0
0.18,S009,C,80.0
0.18,S010,A,25.0
0.18,S010,B,30.0
0.18,S010,C,80.0
0.18,S011,A,25.0
0.18,S011,B,30.0
0.18,S011,C,80.0
0.18,S012,A,25.0
0.18,S012,B,30.0
0.18,S012,C,70.47571115195751
0.18,S013,A,25.0
0.18,S013,B,30.0
0.18,S013,C,80.0
0.18,S014,A,25.0
0.18,S014,B,30.0
0.18,S014,C,80.0
0.18,S015,A,25.0
0.18,S015,B,30.0
0.18,S015,C,80.0
0.19,S001,A,25.0
0.19,S001,B,30.0
0.19,S001,C,80.0
0.19,S002,A,25.0
0.19,S002,B,30.0
0.19,S002,C,70.03649782389402
0.19,S003,A,25.0
0.19,S003,B,30.0
0.19,S003,C,69.4193326216191
0.19,S004,A,25.0
0.19,S004,B,30.0
0.19,S004,C,65.06283733062446
0.19,S005,A,25.0
0.19,S005,B,30.0
0.19,S005,C,80.0
0.19,S006,A,25.0
0.19,S006,B,30.0
0.19,S006,C,80.0
0.19,S007,A,25.0
0.19,S007,B,30.0
0.19,S007,C,80.0
0.19,S008,A,25.0
0.19,S008,B,29.36716621974483
0.19,S008,C,60.44996799901128
0.19,S009,A,25.0
0.19,S009,B,30.0
0.19,S009,C,80.0
0.19,S010,A,25.0
0.19,S010,B,30.0
0.19,S010,C,80.0
0.19,S011,A,25.0
0.19,S011,B,30.0
0.19,S011,C,80.0
0.19,S012,A,25.0
0.19,S012,B,30.0
0.19,S012,C,69.32411131449044
0.19,S013,A,25.0
0.19,S013,B,30.0
0.19,S013,C,80.0
0.19,S014,A,25.0
0.19,S014,B,30.0
0.19,S014,C,80.0
0.19,S015,A,25.0
0.19,S015,B,30.0
0.19,S015,C,80.0
0.2,S001,A,25.0
0.2,S001,B,30.0
0.2,S001,C,80.0
0.2,S002,A,25.0
0.2,S002,B,30.0
0.2,S002,C,68.86034271679819
0.2,S003,A,25.0
0.2,S003,B,30.0
0.2,S003,C,68.20649054832757
0.2,S004,A,25.0
0.2,S004,B,30.0
0.2,S004,C,63.69695544242859
0.2,S005,A,25.0
0.2,S005,B,30.0
0.2,S005,C,80.0
0.2,S006,A,25.0
0.2,S006,B,30.0
0.2,S006,C,80.0
0.2,S007,A,25.0
0.2,S007,B,30.0
0.2,S007,C,80.0
0.2,S008,A,25.0
0.2,S008,B,28.801233619451523
0.2,S008,C,58.904360961169004
0.2,S009,A,25.0
0.2,S009,B,30.0
0.2,S009,C,80.0
0.2,S010,A,25.0
0.2,S010,B,30.0
0.2,S010,C,80.0
0.2,S011,A,25.0
0.2,S011,B,30.0
0.2,S011,C,80.0
0.2,S012,A,25.0
0.2,S012,B,30.0
0.2,S012,C,68.11719339340925
0.2,S013,A,25.0
0.2,S013,B,30.0
0.2,S013,C,80.0
0.2,S014,A,25.0
0.2,S014,B,30.0
0.2,S014,C,80.0
0.2,S015,A,25.0
0.2,S015,B,30.0
0.2,S015,C,80.0
0.21,S001,A,25.0
0.21,S001,B,30.0
0.21,S001,C,80.0
0.21,S002,A,25.0
0.21,S002,B,30.0
0.21,S002,C,67.62655661441386
0.21,S003,A,25.0
0.21,S003,B,30.0
0.21,S003,C,66.93394582718611
0.21,S004,A,25.0
0.21,S004,B,29.864865811541677
0.21,S004,C,62.25967516191304
0.21,S005,A,25.0
0.21,S005,B,30.0
0.21,S005,C,80.0
0.21,S006,A,25.0
0.21,S006,B,30.0
0.21,S006,C,80.0
0.21,S007,A,25.0
0.21,S007,B,30.0
0.21,S007,C,80.0
0.21,S008,A,25.0
0.21,S008,B,28.206156883388758
0.21,S008,C,57.27272713556886
0.21,S009,A,25.0
0.21,S009,B,30.0
0.21,S009,C,80.0
0.21,S010,A,25.0
0.21,S010,B,30.0
0.21,S010,C,80.0
0.21,S011,A,25.0
0.21,S011,B,30.0
0.21,S011,C,80.0
0.21,S012,A,25.0
0.21,S012,B,30.0
0.21,S012,C,66.8506998103112
0.21,S013,A,25.0
0.21,S013,B,30.0
0.21,S013,C,80.0
0.21,S014,A,25.0
0.21,S014,B,30.0
0.21,S014,C,80.0
0.21,S015,A,25.0
0.21,S015,B,30.0
0.21,S015,C,80.0
0.22,S001,A,25.0
0.22,S001,B,30.0
0.22,S001,C,80.0
0.22,S002,A,25.0
0.22,S002,B,30.0
0.22,S002,C,66.3305783458054
0.22,S003,A,25.0
0.22,S003,B,30.0
0.22,S003,C,65.59701327234507
0.22,S004,A,25.0
0.22,S004,B,29.29878235096112
0.22,S004,C,60.74486665427685
0.22,S005,A,25.0
0.22,S005,B,30.0
0.22,S005,C,80.0
0.22,S006,A,25.0
0.22,S006,B,30.0
0.22,S006,C,80.0
0.22,S007,A,25.0
0.22,S007,B,30.0
0.22,S007,C,80.0
0.22,S008,A,25.0
0.22,S008,B,27.579487084876746
0.22,S008,C,55.54697304032743
